136 2	161.25 -53.75
137 2	163.75 -53.75
138 2	166.25 -53.75
139 2	168.75 -53.75
140 2	171.25 -53.75
141 2	173.75 -53.75
142 2	176.25 -53.75
143 2	178.75 -53.75
0 3	-178.75 -51.25
1 3	-176.25 -51.25
2 3	-173.75 -51.25
3 3	-171.25 -51.25
4 3	-168.75 -51.25
5 3	-166.25 -51.25
6 3	-163.75 -51.25
7 3	-161.25 -51.25
8 3	-158.75 -51.25
9 3	-156.25 -51.25
10 3	-153.75 -51.25
11 3	-151.25 -51.25
12 3	-148.75 -51.25
13 3	-146.25 -51.25
14 3	-143.75 -51.25
15 3	-141.25 -51.25
16 3	-138.75 -51.25
17 3	-136.25 -51.25
18 3	-133.75 -51.25
19 3	-131.25 -51.25
20 3	-128.75 -51.25
21 3	-126.25 -51.25
22 3	-123.75 -51.25
23 3	-121.25 -51.25
24 3	-118.75 -51.25
25 3	-116.25 -51.25
26 3	-113.75 -51.25
27 3	-111.25 -51.25
28 3	-108.75 -51.25
29 3	-106.25 -51.25
30 3	-103.75 -51.25
31 3	-101.25 -51.25
32 3	-98.75 -51.25
33 3	-96.25 -51.25
34 3	-93.75 -51.25
35 3	-91.25 -51.25
36 3	-88.75 -51.25
37 3	-86.25 -51.25
38 3	-83.75 -51.25
39 3	-81.25 -51.25
40 3	-78.75 -51.25
41 3	-76.25 -51.25
42 3	-73.75 -51.25
43 3	-71.25 -51.25
44 3	-68.75 -51.25
45 3	-66.25 -51.25
46 3	-63.75 -51.25
47 3	-61.25 -51.25
48 3	-58.75 -51.25
49 3	-56.25 -51.25
50 3	-53.75 -51.25
51 3	-51.25 -51.25
52 3	-48.75 -51.25
53 3	-46.25 -51.25
54 3	-43.75 -51.25
55 3	-41.25 -51.25
56 3	-38.75 -51.25
57 3	-36.25 -51.25
58 3	-33.75 -51.25
59 3	-31.25 -51.25
60 3	-28.75 -51.25
61 3	-26.25 -51.25
62 3	-23.75 -51.25
63 3	-21.25 -51.25
64 3	-18.75 -51.25
65 3	-16.25 -51.25
66 3	-13.75 -51.25
67 3	-11.25 -51.25
68 3	-8.75 -51.25
69 3	-6.25 -51.25
70 3	-3.75 -51.25
71 3	-1.25 -51.25
72 3	1.25 -51.25
73 3	3.75 -51.25
74 3	6.25 -51.25
75 3	8.75 -51.25
76 3	11.25 -51.25
77 3	13.75 -51.25
78 3	16.25 -51.25
79 3	18.75 -51.25
80 3	21.25 -51.25
81 3	23.75 -51.25
82 3	26.25 -51.25
83 3	28.75 -51.25
84 3	31.25 -51.25
85 3	33.75 -51.25
86 3	36.25 -51.25
87 3	38.75 -51.25
88 3	41.25 -51.25
89 3	43.75 -51.25
90 3	46.25 -51.25
91 3	48.75 -51.25
92 3	51.25 -51.25
93 3	53.75 -51.25
94 3	56.25 -51.25
95 3	58.75 -51.25
96 3	61.25 -51.25
97 3	63.75 -51.25
98 3	66.25 -51.25
99 3	68.75 -51.25
100 3	71.25 -51.25
101 3	73.75 -51.25
102 3	76.25 -51.25
103 3	78.75 -51.25
104 3	81.25 -51.25
105 3	83.75 -51.25
106 3	86.25 -51.25
107 3	88.75 -51.25
108 3	91.25 -51.25
109 3	93.75 -51.25
110 3	96.25 -51.25
111 3	98.75 -51.25
112 3	101.25 -51.25
113 3	103.75 -51.25
114 3	106.25 -51.25
115 3	108.75 -51.25
116 3	111.25 -51.25
117 3	113.75 -51.25
118 3	116.25 -51.25
119 3	118.75 -51.25
120 3	121.25 -51.25
121 3	123.75 -51.25
122 3	126.25 -51.25
123 3	128.75 -51.25
124 3	131.25 -51.25
125 3	133.75 -51.25
126 3	136.25 -51.25
