"Join_Count,N,9,0","TARGET_FID,N,9,0","CLSFID,N,9,0","ADMINID,N,19,5","COUNTRYID,N,19,5","LATI,N,19,5","LENGTH,N,19,5","LONGI,N,19,5","rp00005,N,19,15","rp00010,N,19,15","rp00002,N,19,15","rp00500,N,19,15","rp00100,N,19,15","Station,C,80","rp00050,N,19,15","rp00250,N,19,15","Nr,N,10,0","rp01000,N,19,15","rp00025,N,19,15"
1,2862,179,526,148,41.634,4.261,-8.824,1.9093972709,1.9779632445,1.8058369046,2.3400814541,2.1926610241,diva_id__363,2.1288660571,2.2766575267,834,2.403459525,2.064596534
1,2863,180,543,148,41.543,17.144,-8.794,1.9093972709,1.9779632445,1.8058369046,2.3400814541,2.1926610241,diva_id__363,2.1288660571,2.2766575267,834,2.403459525,2.064596534
1,2864,181,559,148,41.442,5.828,-8.785,1.9081065371,1.9768325821,1.8043044027,2.3397961787,2.1920315867,diva_id__366,2.1280876865,2.2762241842,837,2.4033222095,2.0636681223
1,2865,182,559,148,41.358,13.686,-8.769,1.9054774163,1.9744814706,1.8012553836,2.3389133204,2.190550994,diva_id__368,2.1263484291,2.2750841658,839,2.4026963255,2.0616682761
1,2866,183,559,148,41.254,10.728,-8.735,1.9046497466,1.9726754014,1.8019054646,2.3319400192,2.185681303,diva_id__370,2.122389058,2.2690158899,841,2.3948186534,2.0586259965
1,2867,184,559,148,41.168,9.473,-8.704,1.9144628595,1.9841366172,1.8092293232,2.3521053786,2.2023031549,diva_id__372,2.1374774864,2.2876567445,843,2.4165074154,2.0721695947
1,2868,185,559,148,41.073,13.165,-8.669,1.9131910471,1.9822320265,1.8089132437,2.3468588892,2.1984171719,diva_id__374,2.1341802513,2.2829955786,845,2.4106760255,2.069465487
1,2869,186,583,148,40.988,6.825,-8.649,1.9172309145,1.9863423534,1.8128466907,2.3513413346,2.2027481257,diva_id__376,2.1384456483,2.2874128486,847,2.4152235992,2.0736648397
1,2870,187,583,148,40.938,4.752,-8.66,1.9172309145,1.9863423534,1.8128466907,2.3513413346,2.2027481257,diva_id__376,2.1384456483,2.2874128486,847,2.4152235992,2.0736648397
1,2871,188,583,148,40.913,0.762,-8.666,1.9180262808,1.9860736844,1.8152491499,2.3454531644,2.1991476871,diva_id__380,2.1358352066,2.2825089173,851,2.4083519018,2.0720517592
1,2872,189,583,148,40.872,8.862,-8.677,1.9192136554,1.9880536008,1.8152394886,2.3516187409,2.203609257,diva_id__382,2.1395593819,2.2879413879,853,2.4152500541,2.0750330544
1,2873,190,583,148,40.82,3.183,-8.693,1.9199059938,1.9886406704,1.8160908226,2.3516498529,2.2038667026,diva_id__383,2.1399147714,2.2880698742,854,2.4151838622,2.0754871165
1,2874,191,583,148,40.726,39.227,-8.7,1.9199059938,1.9886406704,1.8160908226,2.3516498529,2.2038667026,diva_id__383,2.1399147714,2.2880698742,854,2.4151838622,2.0754871165
1,2875,192,583,148,40.632,12.873,-8.732,1.9135145781,1.9779289204,1.8162247341,2.3181210746,2.1796268693,diva_id__387,2.1196946519,2.2585374306,858,2.3776616387,2.0593166125
1,2876,193,583,148,40.562,5.6,-8.776,1.9058970696,1.9682092782,1.8117822367,2.2972994115,2.1633249035,diva_id__389,2.1053485476,2.2396602534,860,2.3548968956,2.0469409189
1,2877,194,583,148,40.529,1.934,-8.784,1.9058970696,1.9682092782,1.8117822367,2.2972994115,2.1633249035,diva_id__389,2.1053485476,2.2396602534,860,2.3548968956,2.0469409189
