Location,TCFDCategoryName,TCFDSubCatName,RiskFactorName,ScenarioName,RiskYear,ValueAtRisk,ParentCorpID
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2060,2.13368,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2070,3.79159,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2080,6.67724,1
Boise,  Physical Risk,Acute,Storm damage ,RCP8.5,2090,10.4443,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2010,0,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2020,0,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2030,0.0698922,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2040,0.0645786,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2050,0.044118,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2060,0.182887,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2070,0.324994,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2080,0.572335,1
Boise,  Physical Risk,Acute,Employee impacts ,RCP8.5,2090,0.895224,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2010,0,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2020,0,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2030,1.16487,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2040,1.07631,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2050,0.7353,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2060,3.04812,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2070,5.41656,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2080,9.53892,1
Boise,  Physical Risk,Chronic,Temperature extremes ,RCP8.5,2090,14.9204,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2010,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2020,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2030,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2040,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2050,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2060,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2070,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2080,0,1
Boise,  Physical Risk,Chronic,Coastal flooding ,RCP8.5,2090,0,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2010,0,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2020,0,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2030,0.186379,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2040,0.17221,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2050,0.117648,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2060,0.487699,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2070,0.86665,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2080,1.52623,1
Boise,  Opportunity,Resource Efficiency,Energy Efficiency ,RCP8.5,2090,2.38726,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2010,0,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2020,0,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2030,0.209677,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2040,0.193736,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2050,0.132354,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2060,0.548662,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2070,0.974981,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2080,1.71701,1
Boise,  Opportunity,Resource Efficiency,Water Efficiency ,RCP8.5,2090,2.68567,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2010,0,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2020,0,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2030,0.139784,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2040,0.129157,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2050,0.088236,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2060,0.365774,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2070,0.649987,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2080,1.14467,1
Boise,  Opportunity,Resource Efficiency,Materials Efficiency ,RCP8.5,2090,1.79045,1
Boise,  Opportunity,Energy Source,Renewable price stability ,RCP8.5,2010,0,1
